date,temp_max,temp_min
2016-07-04,32.7,25.3
2016-07-05,34.7,26.9
2016-07-06,33.4,27.1
2016-07-07,33.5,26.6
2016-07-08,34.4,27.1
2016-07-09,34.5,27.4
2016-07-10,34.4,27.6
2016-07-11,33.0,26.8
2016-07-12,32.0,26.0
2016-07-13,33.0,26.9
2016-07-14,32.7,27.1
2016-07-15,32.1,25.6
2016-07-16,27.4,25.8
2016-07-17,26.8,25.4
2016-07-18,32.8,25.0
2016-07-19,34.1,25.8
2016-07-20,34.8,27.4
2016-07-21,35.3,28.4
2016-07-22,34.6,26.9
2016-07-23,32.0,26.9
2016-07-24,32.3,25.7
2016-07-25,33.1,25.5
2016-07-26,31.3,26.0
2016-07-27,29.5,25.7
2016-07-28,30.0,24.9
2016-07-29,27.0,24.7
2016-07-30,29.6,24.8
2016-07-31,29.0,24.7
2016-08-01,29.2,25.1
2016-08-02,31.9,24.7
2016-08-03,32.9,25.7
2016-08-04,33.6,27.2
2016-08-05,33.7,27.3
2016-08-06,31.3,27.1
2016-08-07,33.0,26.0
2016-08-08,32.5,26.8
2016-08-09,30.5,25.9
2016-08-10,30.4,25.8
2016-08-11,30.4,25.2
2016-08-12,30.7,25.1
2016-08-13,31.8,25.3
2016-08-14,30.9,25.3
2016-08-15,33.1,25.9
2016-08-16,33.4,26.0
2016-08-17,29.8,26.4
2016-08-18,30.1,25.8
2016-08-19,32.3,25.9
2016-08-20,31.6,26.3
2016-08-21,30.6,25.4
2016-08-22,31.6,24.2
2016-08-23,31.0,25.8
2016-08-24,29.7,26.1
2016-08-25,32.3,25.5
2016-08-26,32.9,26.1
2016-08-27,32.5,25.0
2016-08-28,32.9,26.3
2016-08-29,31.7,25.5
2016-08-30,31.4,24.4
2016-08-31,30.0,25.0
2016-09-01,31.3,24.5
2016-09-02,31.7,25.1
2016-09-03,31.3,25.6
2016-09-04,32.0,24.7
2016-09-05,31.6,24.4
2016-09-06,31.6,25.3
2016-09-07,32.1,24.9
2016-09-08,32.1,25.2
2016-09-09,33.0,25.1
2016-09-10,33.1,25.5
2016-09-11,32.9,25.4
2016-09-12,32.5,25.5
2016-09-13,33.0,25.1
2016-09-14,31.9,24.2
2016-09-15,33.1,25.0
2016-09-16,33.6,25.2
2016-09-17,32.7,24.0
2016-09-18,33.0,24.5
2016-09-19,33.2,24.4
2016-09-20,34.6,25.3
2016-09-21,34.4,26.1
2016-09-22,30.2,23.9
2016-09-23,31.9,22.9
2016-09-24,31.8,24.5
2016-09-25,31.7,23.6
2016-09-26,32.5,24.3
2016-09-27,32.8,24.4
2016-09-28,33.7,24.2
2016-09-29,33.2,24.9
2016-09-30,33.5,24.4
2016-10-01,33.7,25.6
2016-10-02,33.8,26.3
2016-10-03,33.1,25.4
2016-10-04,33.0,25.5
2016-10-05,31.4,24.7
2016-10-06,31.8,24.3
2016-10-07,33.6,24.2
2016-10-08,33.9,23.1
2016-10-09,34.0,21.7
2016-10-10,32.6,22.7
2016-10-11,33.4,19.7
2016-10-12,33.7,19.3
2016-10-13,34.0,18.3
2016-10-14,33.3,17.3
2016-10-15,32.9,17.5
2016-10-16,33.1,17.9
2016-10-17,33.1,18.4
2016-10-18,32.6,17.2
2016-10-19,32.9,17.1
2016-10-20,33.6,18.7
2016-10-21,33.3,19.7
2016-10-22,33.6,19.8
2016-10-23,32.7,18.8
2016-10-24,32.6,18.4
2016-10-25,32.8,19.4
2016-10-26,32.7,17.3
2016-10-27,31.7,16.2
2016-10-28,30.9,16.7
2016-10-29,30.9,17.9
2016-10-30,30.2,16.4
2016-10-31,29.6,18.8
2016-11-01,29.3,15.8
2016-11-02,29.7,16.2
2016-11-03,29.7,15.5
2016-11-04,29.8,15.4
2016-11-05,29.5,15.7
2016-11-06,29.5,15.0
2016-11-07,29.5,15.6
2016-11-08,29.3,17.1
2016-11-09,29.5,15.1
2016-11-10,29.3,13.3
2016-11-11,28.9,13.7
2016-11-12,29.3,14.7
2016-11-13,28.5,15.6
2016-11-14,27.7,17.0
2016-11-15,27.2,16.9
2016-11-16,27.1,14.0
2016-11-17,27.5,14.0
2016-11-18,27.1,14.4
2016-11-19,26.9,13.1
2016-11-20,27.6,13.2
2016-11-21,28.7,13.0
2016-11-22,28.8,13.2
2016-11-23,28.1,14.8
2016-11-24,27.8,13.0
2016-11-25,28.7,15.3
2016-11-26,29.4,16.9
2016-11-27,29.2,15.7
2016-11-28,28.1,16.1
2016-11-29,26.5,11.2
2016-11-30,26.3,12.2
2016-12-01,26.0,14.2
2016-12-02,25.3,13.7
2016-12-03,25.6,11.5
2016-12-04,25.2,10.8
2016-12-05,25.3,11.3
2016-12-06,25.2,11.4
2016-12-07,24.7,11.0
2016-12-08,24.4,10.9
2016-12-09,25.2,11.4
2016-12-10,25.6,11.8
2016-12-11,25.7,12.7
2016-12-12,25.4,12.4
2016-12-13,24.4,12.2
2016-12-14,23.8,12.5
2016-12-15,23.3,10.9
2016-12-16,22.6,8.4
2016-12-17,22.3,9.1
2016-12-18,22.1,9.0
2016-12-19,23.1,8.7
2016-12-20,24.3,12.1
2016-12-21,24.9,11.7
2016-12-22,23.1,9.9
2016-12-23,23.8,10.3
2016-12-24,23.8,9.5
2016-12-25,21.6,11.9
2016-12-26,22.6,11.4
2016-12-27,22.9,9.7
2016-12-28,23.4,8.4
2016-12-29,23.0,9.6
2016-12-30,22.1,11.2
2016-12-31,21.5,10.6
2017-01-01,22.1,11.4
2017-01-02,21.8,10.8
2017-01-03,22.6,10.5
2017-01-04,23.1,10.4
2017-01-05,23.5,11.0
2017-01-06,23.1,12.5
2017-01-07,19.5,11.5
2017-01-08,18.5,10.7
2017-01-09,19.3,8.5
2017-01-10,16.8,6.5
2017-01-11,16.1,4.7
2017-01-12,17.0,4.3
2017-01-13,18.0,5.1
2017-01-14,18.6,4.5
2017-01-15,20.4,8.4
2017-01-16,19.7,10.6
2017-01-17,16.7,6.1
2017-01-18,19.2,5.3
2017-01-19,20.9,7.2
2017-01-20,19.4,6.6
2017-01-21,19.9,7.4
2017-01-22,23.0,9.8
2017-01-23,23.6,10.7
2017-01-24,25.0,10.5
2017-01-25,25.3,13.8
2017-01-26,19.1,13.8
2017-01-27,18.0,12.5
2017-01-28,19.8,10.2
2017-01-29,21.1,11.1
2017-01-30,20.9,10.2
2017-01-31,21.3,11.2
2017-02-01,20.7,9.9
2017-02-02,21.5,9.3
2017-02-03,22.3,9.4
2017-02-04,22.7,11.8
2017-02-05,21.9,14.7
2017-02-06,21.9,11.9
2017-02-07,20.1,9.8
2017-02-08,21.5,9.3
2017-02-09,20.8,9.6
2017-02-10,21.2,10.0
2017-02-11,21.5,8.1
2017-02-12,22.2,8.5
2017-02-13,23.1,10.0
2017-02-14,24.1,10.3
2017-02-15,25.2,11.2
2017-02-16,27.5,13.4
2017-02-17,27.3,15.1
2017-02-18,28.6,14.3
2017-02-19,28.7,15.2
2017-02-20,29.5,16.5
2017-02-21,25.5,14.8
2017-02-22,25.6,13.0
2017-02-23,24.8,11.5
2017-02-24,25.3,12.5
2017-02-25,26.9,13.2
2017-02-26,26.5,13.0
2017-02-27,27.5,12.3
2017-02-28,29.3,15.4
2017-03-01,28.1,18.5
2017-03-02,27.7,14.6
2017-03-03,26.5,13.6
2017-03-04,25.2,12.3
2017-03-05,26.8,12.1
2017-03-06,27.0,12.6
2017-03-07,27.6,13.6
2017-03-08,26.0,16.6
2017-03-09,26.0,14.2
2017-03-10,22.7,13.4
2017-03-11,21.8,12.1
2017-03-12,21.7,10.4
2017-03-13,22.9,10.4
2017-03-14,24.6,9.8
2017-03-15,27.0,11.4
2017-03-16,27.3,13.7
2017-03-17,26.5,13.9
2017-03-18,28.0,13.8
